Limit Cost:;1000;

Num;Rel;Cost;Times;IterNum;Time(sec);GetTime_num;Sim_num;
0;0.967459496237;683;[-1,-1,-1,-1,-1,-1];68;0.57719707489;3679;0;
1;0.967377256472;688;[-1,-1,-1,-1,-1,-1];73;0.614563941956;4007;0;
2;0.965871261777;648;[-1,-1,-1,-1,-1,-1];54;0.462441921234;2942;0;
3;0.965958842339;678;[-1,-1,-1,-1,-1,-1];73;0.570554971695;4043;0;
4;0.967460463954;685;[-1,-1,-1,-1,-1,-1];112;0.89143705368;6177;0;
5;0.96749819677;708;[-1,-1,-1,-1,-1,-1];83;0.719353914261;4685;0;
6;0.967436276838;670;[-1,-1,-1,-1,-1,-1];84;0.735006093979;4530;0;
7;0.967460463954;685;[-1,-1,-1,-1,-1,-1];114;0.892769098282;6357;0;
8;0.96721763088;648;[-1,-1,-1,-1,-1,-1];66;0.509920120239;3613;0;
9;0.967459496237;683;[-1,-1,-1,-1,-1,-1];140;1.18295311928;8026;0;
10;0.967450788962;680;[-1,-1,-1,-1,-1,-1];101;0.919296979904;5523;0;
11;0.967456593524;680;[-1,-1,-1,-1,-1,-1];143;1.11625885963;8075;0;
12;0.96749819677;708;[-1,-1,-1,-1,-1,-1];150;1.21793699265;8291;0;
13;0.967411120844;678;[-1,-1,-1,-1,-1,-1];84;0.704093933105;4673;0;
14;0.967436276838;670;[-1,-1,-1,-1,-1,-1];107;0.814087152481;6002;0;
15;0.967459496237;683;[-1,-1,-1,-1,-1,-1];96;0.73036813736;5168;0;
16;0.967314370056;663;[-1,-1,-1,-1,-1,-1];114;0.921622991562;6396;0;
17;0.967459496237;683;[-1,-1,-1,-1,-1,-1];77;0.60528087616;4248;0;
18;0.96743627628;673;[-1,-1,-1,-1,-1,-1];115;0.909811973572;6287;0;
19;0.967325051714;755;[-1,-1,-1,-1,-1,-1];91;0.758054971695;5015;0;
20;0.967328880352;673;[-1,-1,-1,-1,-1,-1];160;1.2668800354;8995;0;
21;0.967039659988;617;[-1,-1,-1,-1,-1,-1];49;0.398406982422;2686;0;
22;0.96729115414;650;[-1,-1,-1,-1,-1,-1];85;0.722097158432;4775;0;
23;0.967437243974;675;[-1,-1,-1,-1,-1,-1];106;1.04686594009;5863;0;
24;0.967436276838;670;[-1,-1,-1,-1,-1,-1];78;0.690618038177;4497;0;
25;0.96749819677;708;[-1,-1,-1,-1,-1,-1];137;1.14759898186;7633;0;
26;0.967402414004;665;[-1,-1,-1,-1,-1,-1];40;0.38161110878;2156;0;
27;0.967425632591;688;[-1,-1,-1,-1,-1,-1];99;0.835368156433;5386;0;
28;0.967436276838;670;[-1,-1,-1,-1,-1,-1];109;0.949380874634;6015;0;
29;0.96732985459;660;[-1,-1,-1,-1,-1,-1];106;0.928635835648;6023;0;
30;0.96738983841;662;[-1,-1,-1,-1,-1,-1];70;0.706870794296;3914;0;
31;0.966457936833;638;[-1,-1,-1,-1,-1,-1];45;0.387710094452;2508;0;
32;0.967328880352;673;[-1,-1,-1,-1,-1,-1];73;0.689912080765;4173;0;
33;0.967411120844;678;[-1,-1,-1,-1,-1,-1];61;0.546560049057;3293;0;
34;0.96747400871;693;[-1,-1,-1,-1,-1,-1];142;1.26009202003;7740;0;
35;0.966685063981;663;[-1,-1,-1,-1,-1,-1];74;0.731805801392;4155;0;
36;0.967474976441;695;[-1,-1,-1,-1,-1,-1];77;0.704643964767;4214;0;
37;0.967460463954;685;[-1,-1,-1,-1,-1,-1];141;1.20680403709;7969;0;
38;0.967483683934;698;[-1,-1,-1,-1,-1,-1];127;1.12035417557;7004;0;
39;0.96747400871;693;[-1,-1,-1,-1,-1,-1];100;0.871748924255;5506;0;
40;0.967452723961;678;[-1,-1,-1,-1,-1,-1];69;0.639572143555;3897;0;
41;0.967346299904;668;[-1,-1,-1,-1,-1,-1];72;0.699311971664;3983;0;
42;0.967377256472;688;[-1,-1,-1,-1,-1,-1];55;0.507526159286;3046;0;
43;0.967411120844;678;[-1,-1,-1,-1,-1,-1];143;1.25303506851;8069;0;
44;0.967459496237;683;[-1,-1,-1,-1,-1,-1];102;0.879271030426;5609;0;
45;0.967353071436;673;[-1,-1,-1,-1,-1,-1];87;0.77157998085;4694;0;
46;0.96740437996;843;[-1,-1,-1,-1,-1,-1];59;0.537532091141;3287;0;
47;0.967411120844;668;[-1,-1,-1,-1,-1,-1];98;0.843969106674;5446;0;
48;0.967387902605;665;[-1,-1,-1,-1,-1,-1];74;0.666448116302;4163;0;
49;0.967460463954;685;[-1,-1,-1,-1,-1,-1];65;0.572757005692;3544;0;
50;0.967350169042;670;[-1,-1,-1,-1,-1,-1];76;0.712517023087;4250;0;
;
Min rel:;Max rel:;Avg rel:;Min iter:;Max iter:;Avg iter:;Min tc:;Max tc:;Avg tc:;Min sc:;Max sc:;Avg sc:;Min time:;Max time:;Avg time:;
0.965871261777;0.96749819677;0.96731620844;40;160;92;2156;8995;5141;0;0;0;0.38161110878;1.2668800354;0.794715586831;